"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"19","2000-03-30","Zeitung","Die Zeit, 30.03.2000, Nr. 14","","Jetzt fragt er nur noch, ob es denn richtig sei, wenn die Männer der Kirche, die doch ""der Welt entsagt haben"", ihren irdischen Besitz auf Kosten Einfältiger durch Drohungen mit dem Höllenfeuer mehren, zum Meineid anstiften, rechtmäßige Erben in Armut stürzen und die Höfe kleiner Bauern von brutalen Vögten kassieren lassen.","Das politische Erbe ist bald vertan - das kulturelle bleibt","Am 11. September 813 gibt er in Aachen seinen ""kaiserlichen Namen"" so weiter, wie er sich seine eigene Krönung vorgestellt haben mag."
"20","2000-04-13","Zeitung","Die Zeit, 13.04.2000, Nr. 16","","Wirklich?","Wozu ist der Regulierungsbehörde wohl ein aus Mitgliedern des Bundestages und des Bundesrates besetzter Beirat beigegeben, wenn da nicht doch auch Länderinteressen im Spiel wären?","Die Sache scheint mithin von Tag zu Tag spannender zu werden."
"21","2005-01-01","Belletristik","Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 783","","Die meiste Zeit seines anderthalbjährigen Grundwehrdienstes hatte er gewartet.","Aber diese Nacht war seine letzte im Feldlager.","Morgen würden sie zurück ins Regiment fahren – sozusagen nach Hause –, und dann wären es keine zwei Wochen mehr bis zur Entlassung."
"22","2003-01-01","Belletristik","Franck, Julia: Lagerfeuer, Köln: DuMont Literatur und Kunst Verlag 2003, S. 81","","»Verzeihen Sie«, sagte ich noch einmal, bevor er aufsprang, seine Jacke vom Stuhl riß und die Tür hinter sich zuknallte.","Birgit und Cesare waren die einzigen Bekannten, die ich in Berlin hatte, bei genauerer Betrachtung waren sie die einzigen Bekannten, die ich im Westen besaß, auch wenn ich mir eingestehen könnte, daß es im Osten nicht viel mehr von der Sorte gegeben hatte.","Zumindest wenn man dem Wort Bekannte eine gewisse freundschaftliche Gesinnung nicht absprechen wollte."
"23","2000-04-27","Zeitung","Archiv der Gegenwart, 2001. Zitiert nach: Archiv der Gegenwart, 2000, Bd. 70.","","Die Ausstellung, die schon mit viel Erfolg in München gezeigt wurde, macht anschaulich, dass auch unsere neuzeitigen Beziehungen schon Tradition haben.","200000 Griechen, die seit 1950 in Deutschland studiert haben und von denen die meisten in ihr Land zurückgekehrt sind, sind Zeugen dafür.","Sie, Herr Ministerpräsident, sind heute der Prominenteste von ihnen."
"24","2002-01-01","Belletristik","Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 275","","Sein Regiment hatte an der Westfront gelegen und war in einem der ersten Sarin-Angriffe bis auf den letzten Mann aufgerieben worden.","Onkel Louis-Ferdinand war auch da, und der geflügelte Reichhausen, der die Dinge anders als seine Brüder, Cousins und Neffen sah, die Albrecht bedauerten, daß er wohl zu jung sei, um auf der Stelle einzurücken, gab ihm heimlich und abseits den guten Rat, es mit einem bürgerlichen Beruf zu versuchen.","Joachim war sein Lieblingscousin gewesen, und durch dessen Tod hatte dem melancholischen Helden wohl gedämmert, daß es an der Lebensweise der Reichhausens irgendeinen Fehler geben mußte."
"25","2003-01-01","Belletristik","Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 57","","Daß wir auch zusammen studieren würden, schien mir selbstverständlich.","Aber als sie nach dem dritten oder vierten Walzer atemlos in einen Stuhl gesunken war, sagte sie, in zwei Wochen müsse sie wegen ihrer Lunge raus aus Berlin.","Wir schrieben uns regelmäßig, verbargen unsere Sehnsucht hinter gelehrtem Kauderwelsch, geschwollenen Floskeln."
"26","2000-01-01","Belletristik","Beyer, Marcel: Spione, Köln: DuMont 2000, S. 238","","Und was ein gut gehütetes, gefährliches Geheimnis gewesen war, von dem er nicht einmal seiner Frau erzählt hatte, kam ihm nur noch ab und zu beiläufig in den Sinn: Wir haben zur Trennung unserer Eltern beigetragen, ohne daß wir es jemals zugegeben hätten.","Nachdem einmal alles vergessen war, konnte sich Carl nun langsam wieder an die Vergangenheit herantasten, erst jetzt erkannte er, wie lächerlich diese Behauptung klang, von der seine Jugend im Rückblick überschattet worden war: Ganz gleich, ob ihre Mutter die Briefe nun gelesen hätte oder nicht, die Eltern hatten sich längst auseinandergelebt, der weitere Verlauf war vorgezeichnet, eine Trennung unausweichlich.","Und mit der Zeit traten ihm die Gesichter seiner Schwestern immer deutlicher vor Augen, begann er, ohne Verbitterung an sie zu denken, wurde neugierig auf ihr heutiges Leben, bis er eines Tages tatsächlich die Nummer von Paulina heraussuchte."
"27","2000-03-09","Zeitung","Die Zeit, 09.03.2000, Nr. 11","","Es ist ein durchaus ironisches Spiel mit Genreklischees und Textkonstruktionen, das in einer sinnlich präsenten Romanlandschaft wirkt.","In Nadiana ist dieses Spiel jetzt unstofflich und selbstbezüglich geraten: eine groß angelegte leere Volte, eine formale Textetüde zum Thema Eifersucht.","Aber es ist, ""Gott sei Dank"", möchte man sagen, chronologisch umgekehrt:"
"28","2006-01-01","Belletristik","Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 431","","Martha aber sagte nur, sie wolle wieder heim, und Marah pflichtete ihr bei.","Da wallte Zorn in mir auf, dunkel wie Rauch, und ich hörte mich schreien, sah mich auf Marah einschlagen mit aller Kraft, zu der ich fähig war.","Bereits in diesem Moment hätte ich alles dafür gegeben, es wieder gutzumachen."
"29","2001-01-01","Belletristik","Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 79","","Chaim Kopolowici war ein frommer Jude mit einem langen Bart und Pejes und mit einem schwarzen Käpperle auf den grauen Haaren.","Sein Kaftan war abgewetzt und schimmerte an manchen Stellen grünlich.","Er schien die Situation gleich zu verstehen, denn er zog sie sofort in die Küche, noch bevor sie ein Wort sagen konnte."
"30","2002-01-01","Belletristik","Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 633","","In meinem Koffer von Aigner befanden sich noch ein Anzug von Valentino, Hemden von Versace und Van Laack, drei Krawatten von Armani und eine von Versace, Socken von Saint-Laurent und Van Laack und noch ein Paar Schuhe von Gucci.","Die Gucci-Schuhe waren noch nicht getragen, sie waren nagelneu.","Ich werde ihm die Eier absägen, absägen, nicht abschneiden, dafür ist er viel zu minderwertig, ich werde sie ihm absägen, langsam, Millimeter für Millimeter, ich nehme eine grobe Holzsäge, nachdem ich ihn nackt auf den Herd gefesselt habe, und die Platten einschalte, ritze ich ihm das Skrotum."
"31","2000-01-27","Zeitung","Die Zeit, 27.01.2000, Nr. 5","","Wirklich unschuldig ist so gut wie niemand in der Partei.","So ist es am Ende eine paradoxe Sache mit der CDU nach dem Ende des ""Systems Kohl"":","Mit diesem Führungsstil hat sie der Erosion ihrer gesellschaftlichen Voraussetzungen besser standgehalten, als es ihr mit irgendeinem anderen Vorsitzenden und ausschließlich legalen Methoden gelungen wäre."
"32","2000-03-02","Zeitung","Die Zeit, 02.03.2000, Nr. 10","","Worum geht es also?","Gerade zu Beginn der Buß- und Fastenzeit, rechtzeitig zum Aschermittwoch, sei es so gesagt: um eine Entschuldung ohne Buße und Reue - so, als könne man auch zu seiner Bank gehen und sich entschulden, ohne zu zahlen.","Das musste einmal gesagt werden, 'tschuldigung."
"33","2003-01-01","Belletristik","Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 221","","Meggie blickte zu ihm zurück, bis die Dunkelheit es verschluckte.","Es ist vorbei, dachte sie.","Es ist wirklich vorbei."
"34","2000-04-06","Zeitung","Die Zeit, 06.04.2000, Nr. 15","","Stoiber: Was heißt hier Lehrling?","Merz und Merkel sind Führungspersönlichkeiten, die ihren Meisterbrief schon lange gemacht haben.","Dass die Erfahrungen von den Älteren eingebracht werden, ist kein Widerspruch."
"35","2005-01-01","Belletristik","Genazino, Wilhelm: Die Liebesblödigkeit, München, Wien: Carl Hanser Verlag 2005, S. 55","","Ich habe diese Plätze selbst ausprobiert, es sind Kleinode und Verstecke, absolute Geheimtips.","Vor ungefähr fünfzehn Jahren, als ich noch halbwegs jung war und noch Karriere machen wollte, habe ich einmal ein »Handbuch für Erschöpfte« schreiben wollen, eine Art Stadtführer mit Angabe von schattenspendenden Bäumen, unbekannten Schleichwegen (ohne Werbetafeln links und rechts), stillen Cafes (ohne Gedudel) und so weiter.","Leider war ich selber zu erschöpft, um das Handbuch zu schreiben."
"36","2005-01-01","Belletristik","Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 378","","»Die Situation war doch völlig anders!«, sagte er.","»Damals haben noch alle geglaubt, ich wäre tot, und Norlin war im Besitz der Macht.","Da hatten sie natürlich Angst, deine Enthüllungsgeschichte zu bringen!"
"37","2004-01-01","Wissenschaft","Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 454","","Aber er täuscht sich.","Es ist Anfang des Jahres 1634, nur einige Wochen vor seiner Ermordung am 25. Februar 1634.","Die Stationen der beispiellosen Karriere des Generalissimus werden in Gesprächen angedeutet."
"38","2006-01-01","Wissenschaft","Lepenies, Wolf: Kultur und Politik, München, Wien: Carl Hanser Verlag 2006, S. 114","","»In einer Gestalt führt sie eine Gesellschaftsschicht zu Ende, mit einem Satz übergibt sie ein Jahrhundert seinem nächsten Ziel, sie allein, nicht die Politik, ist ohne Kompromiss, sie allein, nicht die Politik, reicht bis in jene seelischen Schichten hinein, in denen die wirklichen Verwandlungen der menschlichen Gesellschaft sich vollziehen, die Verwandlungen des Stils und der Gesinnung.«","Gottfried Benns Verachtung für »soziale Theorien und Schlagworte« war habituell, und die polemische Versicherung, es käme einzig darauf an, »die politisch verrotteten Begriffe wieder durch geistige zu klären und an geistige zu binden, statt die noch ein wenig bewahrten Dinge der Zeit ins Politische zu zerren und sie denunziativ bei der Roheit zu verdächtigen«, war sein Dauermotiv.","Benn, »Rede auf Heinrich Mann«; Sämtliche Werke III, S. 321."
"39","2002-01-01","Belletristik","Wondratschek, Wolf: Mozarts Friseur, München, Wien: Carl Hanser Verlag 2002, S. 51","","Das ist das Dumme.","Und es ist ungerecht!","Sie sind zu schwer."
"40","2001-01-01","Belletristik","Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 289","","Gebannt musterte er ihren so beweglichen Mund, der immerzu ein Lächeln annehmen zu wollen schien und dann wieder einen ganz anderen Ausdruck.","Auf ihrer Wange war dünner Flaum.","»Es scheint mir etwas ungewöhnlich, daß man jemanden in Ihrem Alter diese Bilder machen ließ.«"
"41","2003-01-01","Belletristik","Riedel, Susanne: Eine Frau aus Amerika, Berlin: Berlin Verlag 2003, S. 110","","Ich wurde verrückt.","Es wäre zu einfach gewesen, davonzukommen.","In diesem Moment wollte ich die Briefe aus der Aktentasche nehmen, sie öffnen, lesen und mich der anderen Art von Gespenstern ergeben."
"42","2005-01-01","Belletristik","Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 676","","Da reicht schon ein Blick.","So ein Blick ist die schlimmste Provokation.","Oder die Bewegung einer Hand."
"43","2000-02-17","Zeitung","Die Zeit, 17.02.2000, Nr. 8","","Die Mutter ist Schauspielerin, der Vater Arzt","1987 Mit elf Jahren ist Milla das jüngste Titelmodel aller Zeiten - in der US-Ausgabe der Zeitschrift »Mademoiselle","1991 Milla bekommt ihre erste Hauptrolle in »Rückkehr zur blauen Lagune"
"44","2003-01-01","Belletristik","Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 453","","Aber als sie das Kleid endlich gefunden hatte und es sich mit zitternden Fingern über den Kopf gezerrt hatte, blieb sie plötzlich reglos stehen.","Wie still es war.","Totenstill."
"45","2001-01-01","Belletristik","Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 88","","Einer hat sie hergebracht, ein anderer führt sie nach Munkatsch und dort nimmt sie wieder einer in Empfang.","Sie sind doch auch aus Lawoczne, nicht wahr?","Vielleicht können Sie sich den Leuten anschließen, ich werde mit ihnen reden. «"
"46","2000-01-01","Belletristik","Schmitter, Elke: Frau Sartoris, Berlin: BvT 2000[2002], S. 9","","Der Wecker wird uns sicher alle überleben.","Aber meine flatternden Nerven, das war ihnen neu.","Beide beteuerten, Angst um mich zu haben, und Irmi glaubte ich es sogar. Hin und wieder brach das Gespräch zwischen ihnen ab, wenn ich das Wohnzimmer betrat, oder Irmi senkte die Stimme, wenn sie sich in ihrem Zimmer mit Ernst unterhielt."
"47","2006-01-01","Belletristik","Venske, Regula: Marthes Vision, Frankfurt am Main: Eichborn Verlag 2006, S. 241","","Und, ich wage es kaum zu denken, um ihn zu erlösen, Diane.","Wie Robinson sollte auch Mac in zwei Tagen von Ramstein aus ans andere Ende der Welt fliegen, auf die andere Seite des Lebens. Dir kam es vor, als wäre es der selbe Mann.","Dein Geliebter."
"48","2004-01-01","Belletristik","Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 252","","»Haben sie dich die ganze Arbeit machen lassen?«","Für einen Sekundenbruchteil wunderte sich Esther, woher er so gut Bescheid wußte, doch schließlich war er hier aufgewachsen.","»Was? Entschuldige...«"
"49","2004-01-01","Belletristik","Schwarz, Hans-Peter: Anmerkungen zu Adenauer, München: Deutsche Verlags-Anstalt 2005, S. 62. Zitiert nach: Schwarz, Hans-Peter: Anmerkungen zu Adenauer, München: Deutsche Verlags-Anstalt 2004.","","Wer das Wählerreservoir einstiger Nationalliberaler, Konservativer und »anständig gebliebener Nationalsozialisten, wie man das damals nennt, anzapfen möchte, kann gar nicht anders verfahren.","Aus heutiger Sicht ist es kaum mehr nachvollziehbar, wie stark die konfessionelle Spaltung in den ersten beiden Nachkriegsjahrzehnten noch verhaltensbestimmend war.","Gewiß hatte eine neue Partei des Typs der CDU daneben unterschiedlichste soziale Gegensätze auszugleichen."
"50","2000-03-23","Zeitung","Die Zeit, 23.03.2000, Nr. 13","","Es gab nur drei Programme, man musste sie teuer bezahlen und wollte also möglichst wenig verpassen.","Heute halten es viele vor der Röhre nicht mehr aus; zusehen ist ihnen nicht genug, zu sehen wollen sie sein.","Die beste Sendung ist jeder selbst, wenn es eine Anstalt gibt, die einen überträgt!"
"51","2003-01-01","Belletristik","Bach, Tamara: Marsmädchen, Hamburg: Verlag Friedrich Oetinger 2003, S. 82","","Ich mache meinen Mund noch ein bisschen auf, und sie macht ihren ein bisschen auf, und ich küsse ihre Oberlippe, die Unterlippe, ihre Zunge streicht über meine Lippen, streichelt meinen Mund.","Ich halte ihre Hand, ich will noch näher an ihr sein, bei ihr, ich will ihr Gesicht anfassen, ich küsse sie, ihre Lippen an meinem Hals, ihre Ohren sind kalt, alles wird warm, ich glühe, ich habe die Augen geschlossen.","Küssen, weiter, weiter."
"52","2000-03-16","Zeitung","Die Zeit, 16.03.2000, Nr. 12","","""Viele in der SPD spüren, dass die alte Rhetorik von Kündigungsschutz bis Mitbestimmung nicht mehr funktioniert - ohne dass klar ist, was an deren Stelle treten soll"", sagt Wolfgang Streeck, Parteienkenner und Direktor am Kölner Max-Planck-Institut für Gesellschaftsforschung.","Was ist sozial, was ist gerecht, was wäre in Deutschland eine ""faire"" Politik, von der amerikanische und angelsächsische Politiker wie Bill Clinton und Tony Blair so häufig reden?","Eine Antwort haben die Sozialdemokraten auf diese Fragen längst noch nicht, sie streiten bloß nicht mehr so laut."
"53","2006-01-01","Belletristik","Noll, Ingrid: Ladylike, Zürich: Diogenes 2006, S. 130","","Zum ersten Mal hören wir so etwas wie deutliche Kritik.","»Wie alt ist er denn?« fragt Anneliese.","Ewald zuckt mit den Schultern."
"54","2003-01-01","Belletristik","Hahn, Ulla: Unscharfe Bilder, München: Deutsche Verlags-Anstalt 2003, S. 128","","Später war ich auf jeder Friedensdemo dabei.","Bin ich auch heute noch.","Was hätte mein Vater wohl zu seinem Enkel gesagt?"
"55","2004-01-01","Wissenschaft","Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 497","","Wir wissen nicht, warum Schiller das Gedicht »Deutsche Größe« nicht ausführte.","War ihm vielleicht die deutsche Mission auch für seinen Geschmack zu grandios geraten?","Erhob der Realist in ihm Einspruch gegen die allzu idealistische Vision vom Vorteil der Verspätung und der Langsamkeit?"
"56","2000-03-23","Zeitung","Die Zeit, 23.03.2000, Nr. 13","","Galt das Land im 18. Jahrhundert als beispielhaft für eine intensive Nutzung aller, auch menschlicher Exkremente zur Düngung des Bodens, so erscheint es heutigen Ökologen wegen der rabiaten Abholzung der Wälder als ein warnendes Beispiel für die Herstellung einer durch und durch künstlichen Natur.","So ist die Geschichte offener, als es manchem vielleicht lieb ist.","In ebendiese Offenheit entlässt Radkau den Leser, obwohl und weil er sich vor der komplexen Frage nach den Akteuren künftiger Umweltpolitik nicht drückt."
"57","2000-01-27","Zeitung","Die Zeit, 27.01.2000, Nr. 5","","Seine Zeit, so lautet dagegen meine These, ist jetzt erst gekommen.","Was damit gemeint ist, lässt sich vielleicht am besten über die Wirkungsgeschichte seines Buches vermitteln, die gerade in ihren folgenreichsten Abschnitten merkwürdig klandestin verlief und noch immer kaum bekannt ist.","Sie macht auch erklärlich, dass und warum der spezifische Kerngedanke Stirners erst nach mehr als anderthalb Jahrhunderten wirklich aktuell geworden ist."
"58","2005-01-01","Belletristik","Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 449","","Am Sonnabend brachten Robert und ich Michaela zum Zug.","Sie lehnte sich aus dem Fenster und winkte, als wäre es ein Abschied für Wochen.","Dann schaffte ich Robert zu Michaelas Mutter nach Torgau, wo er über Nacht bleiben sollte."
"59","2000-02-03","Zeitung","Die Zeit, 03.02.2000, Nr. 6","","Und was ist mit artgerechter Tierhaltung?","Huber: An einer Kuh ist nichts umweltfreundlich.","Ihre Methan-Fürze nagen an der Ozonschicht."
"60","2004-01-01","Wissenschaft","Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 123","","Auf jeder Seite hatte er drei steife vergipste Rollen; der kleine militärische Hut bedeckte kaum den Koptwirbel, in dessen Gegend ein dicker, langer, falscher Zopf gepflanzt war; der lange Hals war von einer sehr schmalen, roßhärenen Binde eingewürgt; das Fußwerk vorzüglich war merkwürdig: durch den an weißen Gamaschen untergelegten Filz waren seine Beine wie zwei Zylinder von einem größeren Diameter als die in knappe Hosen eingepreßten Schenkel.","In diesen Gamaschen, die ohnehin mit Schuhwichse sehr befleckt waren, bewegte er sich, ohne die Knie recht biegen zu können, wie ein Storch.","Dieser ganze, mit der Idee von Schiller so kontrastierende Apparat war oft nachher der Stoff zu tollem Gelächter in unsern kleinen Kreisen. «"
"61","2006-01-01","Belletristik","Krausser, Helmut: Eros, Köln: DuMont 2006, S. 289","","»Wir schließen jetzt.«","»Was? Wieviel Uhr ist es?«","»Fast sechs."
"62","2004-01-01","Belletristik","Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 107","","Für Thomas begann ab sofort ein neues Leben.","Das hier war sein Fest.","Es war sein nullter Geburtstag!"
"63","2000-02-03","Zeitung","Die Zeit, 03.02.2000, Nr. 6","","Hier wird den Liebenden die Regression auferlegt, damit Wenders sich die Reinheit ihres Glücks künstlich erhalten kann - als leuchtendes Beispiel für seine Restbagage.","Die Liebenden in ihrer zarten Aufrichtigkeit sind nämlich von Lügenden umgeben.","Das Million Dollar Hotel ist eine Absteige für die unteren zehntausend von Los Angeles, ein Zimmer kostet 300 Dollar pro Monat, hier leben Drogenabhängige, Kleinkriminelle und manche, die sich einfach keinen Platz im Irrenhaus leisten können."
